trial,latency_us,light
1,8932,209
2,11973,218
3,7986,198
4,10422,184
5,8375,194
6,8292,238
7,8694,334
8,11973,219
9,9986,193
10,6586,196
11,9484,194
12,9974,229
13,6057,203
14,8132,208
15,7685,191
16,7254,232
17,8374,209
18,9987,194
19,6523,243
20,8987,193
21,10692,217
22,9654,238
23,9987,199
24,12612,193
25,10372,243
26,9137,146
27,7936,212
28,6986,260
29,10059,311
30,6986,187
31,6986,260
32,9815,224
33,9986,126
34,8694,196
35,7414,198
36,9986,173
37,9892,220
38,10295,220
39,11414,204
40,8695,200
41,9573,204
42,9987,110
43,7987,167
44,8855,197
45,9732,208
46,8768,199
47,10765,237
48,10900,240
49,12054,185
50,8987,202
51,8772,207
52,9413,199
53,8374,207
54,9986,191
55,9095,135
56,8986,161
57,9283,199
58,9158,113
59,9573,192
60,9986,189
61,10134,224
62,7173,222
63,7812,194
64,8932,207
65,9572,208
66,8292,207
67,8933,228
68,9987,238
69,6986,178
70,9986,320
71,10053,200
72,6853,231
73,9986,298
74,6693,204
75,7986,216
76,7011,136
77,8133,200
78,9975,303
79,7735,196
80,10987,235
81,9974,216
82,10135,254
83,11493,195
84,8534,207
85,7502,201
86,8612,229
87,9259,176
88,10372,235
89,8612,204
90,10934,222
91,9174,226
92,9573,204
93,6373,219
94,10135,252
95,7987,252
96,7812,200
97,10134,201
98,8613,208
99,8534,307
100,8933,220
