trial,latency_us,light
1,17973,238
2,9735,201
3,7974,217
4,7986,260
5,8987,244
6,9652,240
7,10534,206
8,11175,214
9,7987,105
10,8987,124
11,12996,191
12,7732,219
13,8614,202
14,9255,201
15,8935,195
16,8532,207
17,8987,338
18,9415,203
19,11255,199
20,9734,208
21,8693,222
22,8852,206
23,9050,183
24,9643,244
25,10293,218
26,7195,160
27,8692,195
28,8987,173
29,7369,216
30,9414,205
31,8758,204
32,11893,227
33,9173,215
34,9574,177
35,9315,199
36,12533,215
37,9813,198
38,8295,237
39,9987,258
40,5987,173
41,12372,199
42,11334,201
43,8987,208
44,9493,215
45,9415,213
46,8987,164
47,5895,222
48,7733,208
49,7527,176
50,6987,183
51,7986,199
52,8373,200
53,8295,250
54,8454,185
55,8987,197
56,8774,223
57,12532,232
58,8615,261
59,8775,233
60,9894,217
61,8135,204
62,7987,213
63,7504,217
64,8485,197
65,10932,215
66,7987,193
67,8853,235
68,5895,210
69,9895,232
70,7654,234
71,9255,233
72,12295,229
73,9575,201
74,6986,182
75,8693,199
76,9813,225
77,8533,193
78,10365,213
79,7654,198
80,9987,132
81,10132,211
82,8615,203
83,6987,143
84,10986,200
85,11253,214
86,8987,210
87,10562,210
88,10772,211
89,7815,222
90,10613,211
91,9787,177
92,9973,244
93,7986,195
94,9987,227
95,8567,199
96,6292,213
97,10772,215
98,8775,202
99,7987,176
100,8987,148
