trial,latency_us,light
1,17174,204
2,11904,209
3,11987,117
4,12987,198
5,11380,127
6,14078,158
7,11894,206
8,11894,123
9,10533,219
10,11652,221
11,11812,214
12,9573,203
13,9987,190
14,9174,213
15,11735,215
16,11414,216
17,10853,216
18,8977,155
19,12854,296
20,10859,205
21,11012,205
22,13814,191
23,12292,229
24,9987,223
25,12504,170
26,11526,158
27,11735,201
28,11652,223
29,11812,199
30,12695,202
31,12854,211
32,12055,223
33,9987,223
34,10683,203
35,12986,308
36,11479,258
37,12480,193
38,12055,202
39,11987,197
40,11415,223
41,9892,193
42,7894,229
43,11652,214
44,10852,212
45,8266,212
46,12612,244
47,9892,215
48,11493,198
49,9987,144
50,12772,200
51,11255,203
52,12612,245
53,9987,275
54,10532,201
55,14308,183
56,13494,225
57,8987,177
58,10999,198
59,11674,267
60,13893,223
61,9986,200
62,13252,220
63,7653,212
64,8293,193
65,9893,219
66,10533,222
67,13987,194
68,10986,162
69,11986,171
70,13572,207
71,11986,214
72,13655,248
73,12612,196
74,7972,196
75,10532,221
76,12854,192
77,13194,234
78,9815,175
79,12613,226
80,10373,213
81,11986,194
82,9733,254
83,9715,195
84,9701,169
85,11895,234
86,10172,169
87,12933,211
88,13572,211
89,10987,176
90,11608,205
91,9732,205
92,9893,208
93,11254,206
94,12140,220
95,11812,205
96,11622,215
97,9987,144
98,10986,192
99,9987,223
100,10692,269
