trial,latency_us,light
1,18100,90
2,12798,82
3,12633,104
4,11713,85
5,15305,86
6,19396,73
7,14613,79
8,17712,110
9,16241,77
10,12082,81
11,12006,102
12,15988,88
13,12145,83
14,15927,100
15,10678,78
16,13573,82
17,13177,75
18,12629,78
19,15667,80
20,10313,267
21,13380,81
22,16471,123
23,15146,267
24,13690,74
25,12611,102
26,15298,283
27,14239,88
28,12932,87
29,13134,242
30,11927,83
31,15667,85
32,18652,80
33,17762,77
34,17211,87
35,12131,82
36,14950,82
37,17781,82
38,16217,79
39,19262,78
40,10376,141
41,12429,77
42,11051,80
43,15195,156
44,12539,83
45,15513,245
46,14391,80
47,13455,104
48,11445,105
49,18357,77
50,13443,80
51,12731,83
52,11852,228
53,10942,81
54,16015,86
55,18866,83
56,17500,80
57,16656,83
58,19215,98
59,17776,78
60,16414,109
61,14864,82
62,13534,255
63,12368,79
64,11641,121
65,10045,94
66,12819,87
67,13346,97
68,15818,81
69,10655,254
70,13614,83
71,12161,256
72,10354,81
73,12636,77
74,10864,98
75,14048,84
76,11871,76
77,9822,81
78,12909,83
79,11466,79
80,14104,82
81,12874,77
82,12147,83
83,11018,85
84,14765,87
85,14060,78
86,12806,80
87,12262,79
88,11637,98
89,10598,79
90,13751,84
91,12611,97
92,11795,81
93,19048,84
94,9928,241
95,17094,88
96,11927,86
97,14724,83
98,9621,76
99,13014,79
100,11983,76
