trial,latency_us,light
1,11880,89
2,11418,81
3,10523,83
4,14003,100
5,17652,74
6,13067,243
7,15546,82
8,10041,91
9,13117,83
10,16170,91
11,15028,85
12,13410,90
13,20301,274
14,18670,231
15,16852,90
16,19489,83
17,17886,290
18,16245,86
19,9913,116
20,12821,87
21,11652,93
22,14841,88
23,9818,84
24,17323,83
25,12364,235
26,15041,83
27,14074,83
28,12983,88
29,15897,88
30,11067,201
31,13947,80
32,16600,101
33,14572,83
34,12845,83
35,11781,91
36,10580,84
37,13829,86
38,17297,88
39,12237,78
40,11098,269
41,17844,84
42,16232,96
43,18648,91
44,17188,86
45,16513,268
46,15983,95
47,11445,105
48,14011,91
49,12153,85
50,14826,89
51,9927,86
52,13013,86
53,12058,79
54,14316,269
55,12758,88
56,11445,110
57,14466,87
58,13709,82
59,13067,80
60,12362,90
61,15474,83
62,13931,83
63,13147,85
64,12372,81
65,14376,81
66,18044,100
67,17168,108
68,16448,110
69,16239,82
70,14904,85
71,15554,85
72,15267,266
73,15225,110
74,15561,288
75,11392,83
76,10844,86
77,14644,97
78,9977,93
79,14233,83
80,13553,84
81,12935,88
82,12826,106
83,12902,95
84,12557,96
85,15565,264
86,11067,258
87,4972,87
88,15071,82
89,15124,90
90,14894,97
91,15335,85
92,10856,83
93,14282,83
94,9554,92
95,12573,83
96,12033,87
97,11622,267
98,14629,83
99,13836,88
100,13048,81
