trial,latency_us,light
1,35564,78
2,29818,84
3,25079,86
4,36429,72
5,31068,93
6,25577,76
7,19999,74
8,32242,81
9,43784,70
10,38405,76
11,33056,70
12,27987,81
13,23649,76
14,18439,66
15,29746,247
16,40841,99
17,35757,76
18,30003,79
19,25365,76
20,36745,78
21,31494,78
22,25885,73
23,37308,78
24,32934,278
25,27988,85
26,40647,76
27,36097,91
28,30777,80
29,42354,69
30,37217,81
31,32169,80
32,27172,78
33,38765,69
34,33826,76
35,28263,68
36,23014,94
37,34429,99
38,29101,113
39,23645,97
40,34617,71
41,28878,89
42,24436,75
43,19301,78
44,31542,70
45,25647,79
46,20124,85
47,31870,73
48,42947,75
49,38513,77
50,33316,251
51,28078,93
52,39060,90
53,33520,72
54,28109,75
55,39210,74
56,33585,77
57,44848,77
58,39304,80
59,33882,260
60,28383,73
61,22811,92
62,34448,80
63,45391,73
64,39003,69
65,33183,80
66,26663,77
67,20002,80
68,30037,87
69,23562,77
70,33693,80
71,27362,271
72,37335,73
73,31258,75
74,41761,69
75,34818,77
76,27938,78
77,38807,84
78,32218,83
79,26358,283
80,20452,77
81,31014,92
82,41630,112
83,35833,75
84,30045,96
85,40851,77
86,19249,125
87,30306,85
88,24697,77
89,35916,80
90,31562,74
91,25934,79
92,20429,73
93,30893,87
94,25784,94
95,36660,74
96,31418,77
97,26124,75
98,19968,73
99,30474,72
100,23931,80
