trial,latency_us,light
1,22418,270
2,32965,276
3,27576,256
4,21497,77
5,32369,72
6,26671,85
7,20464,87
8,31113,94
9,24376,75
10,33942,82
11,28075,79
12,38056,96
13,31735,71
14,25709,80
15,35274,83
16,29214,77
17,22693,86
18,16376,247
19,26191,240
20,19668,86
21,29724,82
22,22957,85
23,33642,94
24,26328,250
25,36190,76
26,19883,153
27,23006,84
28,17879,86
29,27509,93
30,37244,76
31,30247,101
32,40024,77
33,32301,80
34,24852,234
35,17542,81
36,26999,82
37,20898,276
38,30762,274
39,23728,297
40,33509,86
41,26093,84
42,18626,95
43,28083,80
44,36867,77
45,28610,284
46,38283,278
47,31614,100
48,25124,85
49,35550,73
50,29573,86
51,23433,86
52,17467,94
53,28324,77
54,36561,156
55,6569,80
56,25828,70
57,18847,81
58,28455,78
59,21603,91
60,31191,81
61,24290,77
62,35073,74
63,29081,84
64,23109,91
65,33898,271
66,27550,263
67,37591,77
68,30769,84
69,23811,86
70,33547,86
71,26912,81
72,21713,78
73,15817,81
74,26221,78
75,20256,76
76,13678,80
77,25200,89
78,19263,93
79,29904,86
80,24672,97
81,34851,84
82,29136,83
83,22407,88
84,32622,95
85,26143,278
86,36942,80
87,31659,92
88,25852,225
89,19127,76
90,30270,230
91,24249,75
92,35013,81
93,28988,87
94,23614,100
95,34534,245
96,28490,84
97,23075,85
98,34036,75
99,28652,230
100,23260,97
