trial,latency_us,light
1,16005,64
2,17883,89
3,16037,71
4,18208,131
5,18448,53
6,18803,83
7,19194,228
8,5388,62
9,16935,107
10,17817,90
11,18658,53
12,16301,71
13,17870,225
14,18462,78
15,15308,66
16,19849,75
17,20882,220
18,20750,53
19,17670,87
20,17343,81
21,17029,97
22,18113,245
23,18383,85
24,15014,83
25,15663,89
26,18516,64
27,18475,81
28,18862,56
29,18840,65
30,15913,229
31,19263,74
32,18780,55
33,18229,77
34,16780,54
35,15650,90
36,18003,54
37,17398,62
38,20055,95
39,15777,65
40,15194,245
41,19012,218
42,19267,201
43,17682,99
44,16745,60
45,17006,110
46,20421,64
47,20047,79
48,20018,68
49,13048,56
50,15369,78
51,21890,82
52,19011,99
53,3332,64
54,14602,60
55,17976,223
56,17877,59
57,17701,288
58,21903,118
59,17833,72
60,17723,75
61,16852,95
62,20849,102
63,16709,96
64,16015,128
65,18673,50
66,17829,62
67,22063,132
68,19794,81
69,18934,59
70,17535,56
71,16316,52
72,15882,69
73,19754,104
74,18987,82
75,15859,68
76,19429,80
77,19309,82
78,15437,80
79,17935,54
80,17649,80
81,17191,59
82,17154,77
83,13837,89
84,17402,58
85,17727,83
86,17577,256
87,17565,72
88,17976,74
89,16467,103
90,16694,49
91,10090,51
92,17445,71
93,17040,271
94,17033,64
95,17290,91
96,16887,87
97,17188,58
98,17570,67
99,18081,61
100,18165,91
