trial,latency_us,light
1,15627,63
2,12821,49
3,13403,34
4,14364,260
5,16241,78
6,14266,58
7,12098,226
8,16656,67
9,14086,72
10,16336,95
11,13219,99
12,17806,103
13,14704,77
14,15286,72
15,12151,46
16,13199,86
17,17180,59
18,17501,105
19,13383,74
20,14403,71
21,11591,187
22,13270,238
23,14860,89
24,13403,74
25,14747,108
26,15731,252
27,17068,78
28,14448,44
29,14957,58
30,15675,98
31,16085,68
32,16162,63
33,15813,58
34,16032,53
35,15822,311
36,12468,42
37,12679,92
38,16542,91
39,16893,66
40,15803,174
41,13685,253
42,13930,57
43,10762,53
44,15063,67
45,9969,50
46,13296,74
47,13573,49
48,14557,69
49,14539,74
50,8834,39
51,15886,48
52,15423,92
53,2912,40
54,16814,107
55,13448,97
56,13683,85
57,13906,84
58,11765,58
59,15856,52
60,15821,61
61,11871,45
62,16573,39
63,14286,56
64,16161,110
65,12992,241
66,13853,97
67,12313,251
68,16874,46
69,14866,108
70,12229,64
71,13102,70
72,14411,106
73,12270,95
74,13508,86
75,14264,49
76,15452,60
77,13360,52
78,14877,94
79,15026,58
80,11671,52
81,13098,78
82,14053,108
83,14211,47
84,14924,79
85,12906,95
86,13814,52
87,11655,77
88,12448,55
89,13026,51
90,11479,59
91,16372,51
92,14857,91
93,11263,63
94,13334,69
95,15237,60
96,13437,52
97,15821,99
98,17426,97
99,18980,271
100,17879,160
