trial,latency_us,light
1,9784,64
2,11553,99
3,11116,65
4,12093,84
5,8313,308
6,9064,96
7,10421,63
8,7055,67
9,11647,73
10,11757,65
11,11554,76
12,11143,303
13,10809,243
14,10361,66
15,9709,68
16,9494,92
17,9331,290
18,8832,81
19,12105,81
20,11815,73
21,8640,64
22,9263,97
23,9147,84
24,9399,85
25,9445,91
26,12813,333
27,8431,66
28,8984,82
29,10411,123
30,10086,88
31,5338,75
32,8777,301
33,8842,91
34,13615,99
35,8690,72
36,7935,67
37,11211,78
38,14402,75
39,9490,101
40,13051,67
41,11698,257
42,10490,67
43,9768,74
44,12346,254
45,6651,66
46,13651,74
47,12161,66
48,6173,65
49,9939,66
50,11037,278
51,10731,68
52,9905,75
53,14765,70
54,10064,93
55,13120,72
56,12053,72
57,6885,86
58,10013,70
59,9097,73
60,7754,65
61,10769,89
62,13209,261
63,11584,68
64,9999,65
65,8131,67
66,11331,269
67,10014,68
68,8157,61
69,15086,65
70,9962,74
71,12867,67
72,11639,95
73,9877,64
74,9109,70
75,13619,80
76,12539,68
77,12056,64
78,10698,270
79,13161,71
80,11814,79
81,7921,99
82,11229,151
83,9983,71
84,13014,65
85,8026,116
86,11083,331
87,10331,249
88,9855,71
89,9455,66
90,13338,67
91,8810,271
92,9191,221
93,8583,68
94,12274,64
95,11700,78
96,10769,68
97,10278,68
98,9630,99
99,8840,72
100,11632,64
