trial,latency_us,light
1,10522,87
2,10935,98
3,11283,258
4,9342,85
5,11388,87
6,9947,97
7,13399,83
8,11859,88
9,10622,90
10,9663,87
11,9513,114
12,13233,103
13,12154,89
14,10795,87
15,13032,83
16,11904,86
17,10448,84
18,8913,87
19,12784,87
20,10672,88
21,12421,88
22,10399,91
23,12837,84
24,6777,100
25,8841,87
26,12830,136
27,11369,85
28,6233,83
29,9214,87
30,8369,85
31,6302,91
32,12841,99
33,12551,87
34,11259,86
35,10067,242
36,8687,89
37,11485,90
38,9765,85
39,8086,286
40,10550,85
41,9100,85
42,8798,90
43,11161,81
44,13905,84
45,8657,109
46,7548,234
47,6098,259
48,12656,86
49,10168,84
50,8265,79
51,11168,84
52,9497,85
53,12188,89
54,6331,278
55,12474,84
56,10066,86
57,11686,80
58,13607,346
59,12149,271
60,10817,82
61,12765,87
62,10848,86
63,13731,81
64,12768,85
65,11278,85
66,9539,86
67,8275,85
68,11611,107
69,10440,92
70,12848,82
71,11698,292
72,10577,89
73,13017,85
74,10463,83
75,8950,94
76,12036,87
77,6787,87
78,10066,86
79,9126,95
80,7253,90
81,9848,93
82,9044,105
83,11204,87
84,14271,89
85,8591,95
86,14648,87
87,8855,94
88,12498,320
89,11587,85
90,10633,88
91,9354,85
92,8017,85
93,10706,90
94,9773,98
95,8350,275
96,6970,84
97,10837,86
98,9270,260
99,8150,82
100,11588,86
