trial,latency_us,light
1,81868,68
2,93211,80
3,69953,75
4,79570,71
5,73240,77
6,67626,73
7,77599,76
8,70734,234
9,80980,75
10,73651,82
11,66302,88
12,76414,109
13,69921,98
14,80634,100
15,74044,65
16,67021,63
17,76841,95
18,72071,130
19,82112,61
20,75312,84
21,68942,69
22,79098,249
23,72252,88
24,81089,79
25,73811,71
26,66806,74
27,77070,69
28,70297,70
29,80496,77
30,74158,294
31,67811,63
32,78210,272
33,71678,68
34,82422,68
35,76066,69
36,69497,65
37,79924,80
38,74467,254
39,67716,288
40,77474,63
41,70463,74
42,80625,81
43,74002,68
44,67078,84
45,76455,92
46,69532,85
47,79471,81
48,73019,95
49,82765,71
50,75973,65
51,70430,75
52,80027,75
53,73361,71
54,66795,74
55,76871,76
56,70106,121
57,79419,91
58,73113,256
59,66134,240
60,75463,71
61,67946,78
62,78882,76
63,72437,63
64,81735,61
65,74981,83
66,68278,101
67,77086,282
68,69998,245
69,79196,73
70,71335,111
71,80400,67
72,72837,93
73,66406,75
74,75426,70
75,67545,75
76,77316,82
77,69796,74
78,79383,72
79,72698,243
80,82939,72
81,76391,69
82,69312,77
83,78814,88
84,72878,80
85,67052,77
86,76863,73
87,69732,81
88,79936,102
89,73059,60
90,66931,75
91,76531,89
92,69600,83
93,79256,87
94,72365,90
95,81399,88
96,73735,71
97,82829,114
98,75059,81
99,67078,64
100,75825,71
