trial,latency_us,light
1,66613,73
2,77622,97
3,72251,83
4,67101,96
5,77376,86
6,71170,72
7,82313,251
8,76975,80
9,71449,76
10,82621,90
11,76671,79
12,70849,71
13,81599,71
14,75121,111
15,68603,89
16,79849,110
17,73721,96
18,67527,82
19,78864,92
20,74328,221
21,69009,219
22,79247,73
23,72357,112
24,82081,74
25,75211,77
26,68350,68
27,78885,82
28,73221,236
29,67622,73
30,78052,223
31,71689,76
32,81625,285
33,75342,73
34,68715,70
35,78852,87
36,72648,81
37,66653,83
38,77433,82
39,71996,124
40,82432,77
41,76614,79
42,70611,115
43,81330,68
44,75203,99
45,68520,89
46,77962,73
47,72078,76
48,66806,118
49,76704,96
50,70419,103
51,81875,102
52,76404,109
53,70717,85
54,81640,80
55,76225,66
56,70562,224
57,81516,101
58,75047,81
59,69191,86
60,79214,82
61,73002,76
62,66667,82
63,76649,60
64,70901,254
65,81347,74
66,74856,95
67,69633,106
68,80668,111
69,74350,75
70,68209,244
71,79239,77
72,73437,90
73,67662,64
74,77988,85
75,72381,113
76,82285,80
77,76433,76
78,70210,87
79,79791,81
80,73573,74
81,66923,73
82,78094,92
83,72621,90
84,66426,106
85,77278,87
86,70794,234
87,81761,181
88,75973,80
89,69780,74
90,80002,103
91,73538,98
92,67116,77
93,77433,80
94,71202,73
95,82161,78
96,76347,74
97,70373,74
98,81622,294
99,76025,264
100,69849,81
